x_train,y_train
"[0.7202268431001888, 0.7277882797731567, 0.7542533081285443]",20.299999999999997
"[0.7277882797731567, 0.7542533081285443, 0.7466918714555764]",21.499999999999996
"[0.7542533081285443, 0.7466918714555764, 0.76937618147448]",19.700000000000003
"[0.7466918714555764, 0.76937618147448, 0.7353497164461247]",20.800000000000004
"[0.76937618147448, 0.7353497164461247, 0.7561436672967863]",21.2
"[0.7353497164461247, 0.7561436672967863, 0.7637051039697541]",23.1
"[0.7561436672967863, 0.7637051039697541, 0.7996219281663515]",21.2
"[0.7637051039697541, 0.7996219281663515, 0.7637051039697541]",21.100000000000005
"[0.7996219281663515, 0.7637051039697541, 0.7618147448015122]",18.8
"[0.7637051039697541, 0.7618147448015122, 0.7183364839319469]",17.6
"[0.7618147448015122, 0.7183364839319469, 0.6956521739130433]",20.299999999999997
"[0.7183364839319469, 0.6956521739130433, 0.7466918714555764]",21.599999999999998
"[0.6956521739130433, 0.7466918714555764, 0.7712665406427219]",23.6
"[0.7466918714555764, 0.7712665406427219, 0.8090737240075613]",24.400000000000002
"[0.7712665406427219, 0.8090737240075613, 0.824196597353497]",23.699999999999996
"[0.8090737240075613, 0.824196597353497, 0.8109640831758032]",20.1
"[0.824196597353497, 0.8109640831758032, 0.7429111531190925]",22.9
"[0.8109640831758032, 0.7429111531190925, 0.7958412098298675]",23.699999999999996
"[0.7429111531190925, 0.7958412098298675, 0.8109640831758032]",20.6
"[0.7958412098298675, 0.8109640831758032, 0.7523629489603023]",22.100000000000005
"[0.8109640831758032, 0.7523629489603023, 0.7807183364839319]",19.5
"[0.7523629489603023, 0.7807183364839319, 0.7315689981096407]",20.1
"[0.7807183364839319, 0.7315689981096407, 0.7429111531190925]",20.299999999999997
"[0.7315689981096407, 0.7429111531190925, 0.7466918714555764]",22.3
"[0.7429111531190925, 0.7466918714555764, 0.7844990548204157]",20.199999999999996
"[0.7466918714555764, 0.7844990548204157, 0.7448015122873344]",20.700000000000003
"[0.7844990548204157, 0.7448015122873344, 0.7542533081285443]",21.3
"[0.7448015122873344, 0.7542533081285443, 0.7655954631379961]",23.5
"[0.7542533081285443, 0.7655954631379961, 0.8071833648393193]",23.1
"[0.7655954631379961, 0.8071833648393193, 0.7996219281663515]",20.9
"[0.8071833648393193, 0.7996219281663515, 0.7580340264650282]",20.9
"[0.7996219281663515, 0.7580340264650282, 0.7580340264650282]",23.799999999999997
"[0.7580340264650282, 0.7580340264650282, 0.8128544423440451]",24.8
"[0.7580340264650282, 0.8128544423440451, 0.8317580340264649]",24.3
"[0.8128544423440451, 0.8317580340264649, 0.8223062381852551]",25.3
"[0.8317580340264649, 0.8223062381852551, 0.8412098298676747]",23.0
"[0.8223062381852551, 0.8412098298676747, 0.7977315689981095]",23.300000000000004
"[0.8412098298676747, 0.7977315689981095, 0.8034026465028354]",24.2
"[0.7977315689981095, 0.8034026465028354, 0.8204158790170131]",24.600000000000005
